¥éËRow_Number,UserID_anon,EventID_anon,SessionID_anon,Module,ProblemID,AttemptAtProblem,Result,Skill_0001,Skill_0002,Skill_0003,Skill_0004,Skill_0005,Skill_0006,Skill_0007,Skill_0008
101,1000001,2016268,3000209,Algebraic Laws,measurements_algebra_sphere_expq1_i1,2,CORRECT,measurements_algebra_sphere_exp,measurements_algebra_sphere_order,measurements_area_substitute, , , , , 
102,1000001,2016181,3000209,Algebraic Laws,measurements_algebra_sphere_expq2_i1,1,CORRECT,measurements_algebra_sphere_exp,measurements_algebra_sphere_order,measurements_area_substitute, , , , , 
103,1000001,2009781,3000209,Algebraic Laws,measure_alg_order_cylinder_vol_lbq1_i1,1,CORRECT,measurements_algebra_sphere_order, , , , , , , 
104,1000001,2010056,3000209,Algebraic Laws,measure_alg_cylinder_ord_lbdq2_i1,1,CORRECT,measurements_area_substitute, , , , , , , 
105,1000001,2005000,3000209,Algebraic Laws,order_cylinder_digtq1_i1,1,INCORRECT,measurements_algebra_sphere_exp,measurements_algebra_sphere_order,measurements_area_substitute, , , , , 
106,1000001,2008943,3000209,Algebraic Laws,order_cylinder_digtq1_i1,2,CORRECT,measurements_algebra_sphere_exp,measurements_algebra_sphere_order,measurements_area_substitute, , , , , 
107,1000001,2000262,3000209,Algebraic Laws,EXP_algebra_measurements_exponentq1_i1,1,CORRECT,measurements_algebra_sphere_exp, , , , , , , 
108,1000001,2019122,3000209,Algebraic Laws,EXP_measurements_algebra_sphere_Lq5_i1,1,CORRECT,measurements_algebra_sphere_exp,measurements_algebra_sphere_order, , , , , , 
109,1000001,2002428,3000209,Algebraic Laws,EXP_measurements_algebra_sphere_Lq1_i1,1,CORRECT,measurements_algebra_sphere_exp,measurements_algebra_sphere_order, , , , , , 
110,1000001,2016681,3000209,Algebraic Laws,EXP_measurements_algebra_sphere_Lq2_i1,1,CORRECT,measurements_algebra_sphere_exp,measurements_algebra_sphere_order, , , , , , 
111,1000001,2008701,3000209,Algebraic Laws,EXP_measurements_algebra_sphere_Lq3_i1,1,CORRECT,measurements_algebra_sphere_exp,measurements_algebra_sphere_order, , , , , , 
112,1000001,2006943,3000209,Algebraic Laws,EXP_measurements_algebra_sphere_Lq4_i1,1,CORRECT,measurements_algebra_sphere_exp,measurements_algebra_sphere_order, , , , , , 
113,1000001,2009307,3000214,Algebraic Laws,polynomials_lbdq1_i1,1,CORRECT,measurements_algebra_polynomials_terms, , , , , , , 
114,1000001,2020170,3000214,Algebraic Laws,polynomials_lbdq2_i1,1,INCORRECT,measurements_algebra_polynomials_terms, , , , , , , 
115,1000001,2003259,3000214,Algebraic Laws,polynomials_lbdq2_i1,2,CORRECT,measurements_algebra_polynomials_terms, , , , , , , 
116,1000001,2016832,3000214,Algebraic Laws,polynomials_lbdq3_i1,1,CORRECT,measurements_algebra_polynomials_terms, , , , , , , 
117,1000001,2009083,3000214,Algebraic Laws,polynomials_lbdq4_i1,1,CORRECT,measurements_algebra_polynomials_terms, , , , , , , 
118,1000001,2006251,3000214,Algebraic Laws,polynomials_digtq1_i1,1,CORRECT,measurements_algebra_polynomials_terms, , , , , , , 
119,1000001,2005016,3000214,Algebraic Laws,polynomials_digtq2_i1,1,CORRECT,measurements_algebra_polynomials_terms, , , , , , , 
120,1000001,2007553,3000214,Algebraic Laws,polynomials_digtq3_i1,1,CORRECT,measurements_algebra_polynomials_terms, , , , , , , 
121,1000001,2002155,3000214,Algebraic Laws,polynomials_digtq4_i1,1,CORRECT,measurements_algebra_polynomials_terms, , , , , , , 
122,1000001,2010961,3000214,Algebraic Laws,measure_alg_order_cylinder_lbdq1_i1,1,CORRECT,measurements_algebra_sphere_order, , , , , , , 
123,1000001,2012417,3000214,Algebraic Laws,order_cylinder_area_digtq1_i1,1,INCORRECT,measurements_algebra_sphere_exp,measurements_algebra_sphere_order,measurements_area_substitute, , , , , 
124,1000001,2009042,3000214,Algebraic Laws,order_cylinder_area_digtq1_i1,2,CORRECT,measurements_algebra_sphere_exp,measurements_algebra_sphere_order,measurements_area_substitute, , , , , 
125,1000001,2006064,3000214,Algebraic Laws,measure_alg_substitute_lbdq1_i1,1,CORRECT,measurements_area_substitute, , , , , , , 
126,1000001,2014521,3000214,Algebraic Laws,measure_alg_new_substitute_lbdq3_i1,1,CORRECT,measurements_algebra_sphere_exp,measurements_algebra_sphere_order,measurements_area_substitute, , , , , 
127,1000001,2010045,3000231,Beginning Algebra,alg_area_lbd2q1_i1,1,INCORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
128,1000001,2003379,3000231,Beginning Algebra,alg_area_lbd2q1_i1,2,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
129,1000001,2001360,3000231,Beginning Algebra,alg_area_lbd2q1_i1,3,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
130,1000001,2006884,3000231,Beginning Algebra,alg_area_lbd2q2_i1,1,CORRECT,measurements_area_substitute, , , , , , , 
131,1000001,2000862,3000231,Beginning Algebra,alg_area_lbd2q2_i1,2,CORRECT,measurements_area_substitute, , , , , , , 
132,1000001,2015815,3000231,Beginning Algebra,alg_volume_lbdq1_i1,1,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
133,1000001,2015863,3000231,Beginning Algebra,alg_volume_lbdq2_i1,1,CORRECT,measurements_area_substitute, , , , , , , 
134,1000001,2005068,3000231,Beginning Algebra,alg_volume_lbdq2_i1,2,CORRECT,measurements_area_substitute, , , , , , , 
135,1000001,2015686,3000231,Beginning Algebra,alg_volume_lbdq3_i1,1,INCORRECT,measurements_algebra_sphere_order, , , , , , , 
136,1000001,2003813,3000231,Beginning Algebra,alg_volume_lbdq2_i1,3,INCORRECT,measurements_area_substitute, , , , , , , 
137,1000001,2014763,3000231,Beginning Algebra,alg_volume_lbdq2_i1,4,INCORRECT,measurements_area_substitute, , , , , , , 
138,1000001,2004641,3000231,Beginning Algebra,alg_volume_lbdq2_i1,5,INCORRECT,measurements_area_substitute, , , , , , , 
139,1000001,2014152,3000231,Beginning Algebra,alg_volume_lbdq2_i1,6,INCORRECT,measurements_area_substitute, , , , , , , 
140,1000001,2015082,3000231,Beginning Algebra,alg_volume_lbdq2_i1,7,INCORRECT,measurements_area_substitute, , , , , , , 
141,1000001,2020111,3000231,Beginning Algebra,alg_volume_lbdq2_i1,8,INCORRECT,measurements_area_substitute, , , , , , , 
142,1000001,2001661,3000231,Beginning Algebra,alg_volume_lbdq2_i1,9,INCORRECT,measurements_area_substitute, , , , , , , 
143,1000001,2019610,3000231,Beginning Algebra,alg_volume_lbdq2_i1,10,INCORRECT,measurements_area_substitute, , , , , , , 
144,1000001,2016542,3000231,Beginning Algebra,alg_volume_lbdq2_i1,11,INCORRECT,measurements_area_substitute, , , , , , , 
145,1000001,2020073,3000231,Beginning Algebra,alg_volume_lbdq2_i1,12,CORRECT,measurements_area_substitute, , , , , , , 
146,1000001,2012274,3000231,Beginning Algebra,alg_volume_lbdq2_i1,13,CORRECT,measurements_area_substitute, , , , , , , 
147,1000001,2002053,3000231,Beginning Algebra,alg_battery_cell_digtq1_i1,1,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_area_substitute, , , , , 
148,1000001,2011062,3000231,Beginning Algebra,alg_battery_cell_digtq1_i1,2,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_area_substitute, , , , , 
149,1000001,2002899,3000231,Beginning Algebra,alg_battery_cell_digtq1_i1,3,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_area_substitute, , , , , 
150,1000001,2013381,3000231,Beginning Algebra,alg_battery_cell_digtq2_i1,1,INCORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_algebra_sphere_order,measurements_area_substitute, , , , 
151,1000001,2005942,3000231,Beginning Algebra,alg_battery_cell_digtq2_i1,2,INCORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_algebra_sphere_order,measurements_area_substitute, , , , 
152,1000001,2011587,3000231,Beginning Algebra,alg_battery_cell_digtq2_i1,3,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_algebra_sphere_order,measurements_area_substitute, , , , 
153,1000001,2007094,3000231,Beginning Algebra,alg_battery_cell_digtq2_i1,4,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_algebra_sphere_order,measurements_area_substitute, , , , 
154,1000001,2011039,3000231,Beginning Algebra,alg_battery_cell_digtq2_i1,5,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_algebra_sphere_order,measurements_area_substitute, , , , 
155,1000001,2012203,3000231,Beginning Algebra,alg_ohm_lbdq1_i1,1,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
156,1000001,2010441,3000231,Beginning Algebra,alg_ohm_digtq1_i1,1,INCORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_area_substitute, , , , , 
157,1000001,2004620,3000231,Beginning Algebra,alg_ohm_digtq1_i1,2,INCORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_area_substitute, , , , , 
158,1000001,2002827,3000231,Beginning Algebra,alg_ohm_digtq1_i1,3,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_area_substitute, , , , , 
159,1000001,2017594,3000231,Beginning Algebra,alg_ohm_digtq2_i1,1,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_area_substitute, , , , , 
160,1000001,2005718,3000231,Beginning Algebra,alg_ohm_digtq3_i1,1,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_area_substitute, , , , , 
161,1000001,2005296,3000231,Beginning Algebra,alg_ohm_digtq3_i1,2,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_area_substitute, , , , , 
162,1000001,2010031,3000231,Beginning Algebra,alg_ohm_digtq3_i1,3,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_area_substitute, , , , , 
163,1000001,2004190,3000231,Beginning Algebra,alg_ohm_digtq4_i1,1,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_area_substitute, , , , , 
164,1000001,2007164,3000231,Beginning Algebra,alg_ohm_digtq4_i1,2,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,measurements_area_substitute, , , , , 
165,1000001,2005219,3000231,Beginning Algebra,alg_ohm_resist_lbdq1_i1,1,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
166,1000001,2002563,3000231,Beginning Algebra,alg_ohm_resist_lbdq1_i1,2,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
167,1000001,2011932,3000231,Beginning Algebra,alg_ohm_resist_lbdq2_i1,1,INCORRECT,measurements_area_substitute, , , , , , , 
168,1000001,2015410,3000231,Beginning Algebra,alg_ohm_resist_lbdq2_i1,2,CORRECT,measurements_area_substitute, , , , , , , 
169,1000001,2012865,3000231,Beginning Algebra,alg_resist_lbdq1_i1,1,CORRECT,measurements_area_substitute, , , , , , , 
170,1000001,2005161,3000231,Beginning Algebra,alg_add_solve_lbd1q1_i1,1,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
171,1000001,2016024,3000231,Beginning Algebra,alg_add_solve_lbd1q1_i1,2,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
172,1000001,2010812,3000231,Beginning Algebra,alg_add_solve_lbd2q1_i1,1,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
173,1000001,2015310,3000231,Beginning Algebra,alg_add_solve_lbd3q1_i1,1,INCORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
174,1000001,2012902,3000231,Beginning Algebra,alg_add_solve_lbd3q1_i1,2,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
175,1000001,2017001,3000231,Beginning Algebra,alg_one_step_add_digtq1_i1,1,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
176,1000001,2007784,3000231,Beginning Algebra,alg_one_step_add_digtq2_i1,1,INCORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
177,1000001,2011515,3000231,Beginning Algebra,alg_one_step_add_digtq2_i1,2,INCORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
178,1000001,2016734,3000231,Beginning Algebra,alg_one_step_add_digtq2_i1,3,INCORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
179,1000001,2003460,3000231,Beginning Algebra,alg_one_step_add_digtq2_i1,4,CORRECT,algebra_rearrange_opposite,algebra_rearrange_rules, , , , , , 
180,1000001,2006451,3000231,Beginning Algebra,alg_one_step_add_digtq3_i1,1,INCORRECT,algebra_rearrange_opposite,algebra_rearrange_rules,arithmetic_operations_negative_multiply, , , , , 
181,1000002,2019974,3000183,Algebraic Laws,measure_alg_exponent_lbdq2_i1,1,INCORRECT,measurements_algebra_sphere_exp, , , , , , , 
182,1000002,2018238,3000183,Algebraic Laws,measure_alg_exponent_lbdq2_i1,2,CORRECT,measurements_algebra_sphere_exp, , , , , , , 
183,1000002,2015035,3000183,Algebraic Laws,measure_alg_order_cylinder_vol_lbq1_i1,1,CORRECT,measurements_algebra_sphere_order, , , , , , , 
